Sensor Sample rate (Hz):,200.0,
,,
Sample No.,Timestamp (us),Sensor Voltage from Potentiometer (V)
1,0,0.0
2,5625,0.0
3,11624,0.0
4,17624,0.0
5,23624,0.0
6,29632,0.0
7,35626,0.0
8,41624,0.0
9,47632,0.0
10,53628,0.0
11,59625,0.0
12,65624,0.0
13,71632,0.0
14,77628,0.0
15,83625,0.0
16,89624,0.0
17,95632,0.0
18,101628,0.0
19,107625,0.0
20,113624,0.0
21,119632,0.0
22,125628,0.0
23,131625,0.0
24,137624,0.0
25,143624,0.0
26,149632,0.0
27,155626,0.0
28,161624,0.0
29,167624,0.0
30,173632,0.0
31,179628,0.0
32,185625,0.0
33,191624,0.0
34,197632,0.0
35,203628,0.0
